name,datePublished,image
Legend of Love,1950,https://www.dropbox.com/scl/fi/sw2dcho2j8xbg7e7cgisz/1950_Legend-of-Love.png?rlkey=qvppmb9a1x6jk33zws52kgf24&raw=1
Rogues Of Sherwood Forest,1950,https://www.dropbox.com/scl/fi/bxt1cuuqrd5jokedgeqcp/1950_Rogues-Of-Sherwood-Forest.png?rlkey=5switj8amsn9t0r6glmb80e8x&raw=1
Margaret of Cortona,1950,https://www.dropbox.com/scl/fi/yq3ydlko1wypplfxpt3yn/1950_Margaret-of-Cortona.png?rlkey=zy9qxchl62jkn0n7tuykwwxtc&raw=1
Tales of Robin Hood,1951,https://www.dropbox.com/scl/fi/3rjdh5xiaf365lqx90ij8/1951_Tales-of-Robin-Hood.png?rlkey=4agzcqk7a0pd41xvbssrdo2ry&raw=1
Bluebeard,1951,https://www.dropbox.com/scl/fi/6pprcvrxlk6xi0vvf608r/1951_Bluebeard.png?rlkey=jo0us108wpwidrzt8c2h6ran7&raw=1
The Evil Forest ,1951,https://www.dropbox.com/scl/fi/iyc5vwmqf9jyxztwcjbdu/1951_The-Evil-Forest.png?rlkey=qedksdke34ub5xgvlkm8eg73q&raw=1
The Cloister of Martins,1951,https://www.dropbox.com/scl/fi/bl0lelfqhv3gjk06h671x/1951_The-Cloister-of-Martins.png?rlkey=xjgq6c5csik6415i9fy4aafe4&raw=1
Dawn of America,1951,https://www.dropbox.com/scl/fi/i96qvr442sx7f4cnhv9bc/1951_Dawn-of-America.png?rlkey=684gcxsuwvrc17xr3e2y6rf7a&raw=1
Ivanhoe,1952,https://www.dropbox.com/scl/fi/h0ix60njrch6zf4k47rox/1952_Ivanhoe.png?rlkey=ndemhn2jccjjf38hxc0jkdf62&raw=1
Judgement of God,1952,https://www.dropbox.com/scl/fi/a6ymr78e0k786i9up0e42/1952_Judgement-of-God.png?rlkey=9vk8g28hoe5vtf2buxp60fcvx&raw=1
Wonderful Adventures of Guerrin Meschino,1952,https://www.dropbox.com/scl/fi/9ler1u0n7z32ygwhda9qf/1952_Wonderful-Adventures-of-Guerrin-Meschino.png?rlkey=icmz37843uyyq9fpa766c3mfb&raw=1
La Favorita,1952,https://www.dropbox.com/scl/fi/8u7bffxvnidh8nz9k435z/1952_La-Favorita.png?rlkey=t9ocfs27a45dfrqq43k6nfbn7&raw=1
The Monastery's Hunter,1953,https://www.dropbox.com/scl/fi/6b9evomldw35lfk9h9ial/1953_The-Monastery-s-Hunter.png?rlkey=tnefaj7p83tme9lgu07i2nc08&raw=1
Old Czech Legends,1953,https://www.dropbox.com/scl/fi/wtnkhfm92jq05g267n92b/1953_Old-Czech-Legends.png?rlkey=f0pqo1gv8otq90mfhwlln64ai&raw=1
Knights of the Round Table,1953,https://www.dropbox.com/scl/fi/6rfvuewss7z85pjp7l64e/1953_Knights-of-the-Round-Table.png?rlkey=sb55gnj2mggrv1bivv5126qij&raw=1
Decameron Nights,1953,https://www.dropbox.com/scl/fi/pyh481islzv5wx4ev9b1h/1953_Decameron-Nights.png?rlkey=10medcvu94ajtvbitjziozjx6&raw=1
Prince Valiant,1954,https://www.dropbox.com/scl/fi/cnpjgk5serxw7bb0ges2f/1954_Prince-Valiant.png?rlkey=m4ndaxw0jpcy0sagrvi4vgq4u&raw=1
The Men of Sherwood Forest,1954,https://www.dropbox.com/scl/fi/vnh72qk9veln9t1s8s5bz/1954_The-Men-of-Sherwood-Forest.png?rlkey=6xfiw5pqe3gwogj4lngivkt9j&raw=1
The Saracen Blade,1954,https://www.dropbox.com/scl/fi/q4gpyodo1bju51szyni8r/1954_The-Saracen-Blade.png?rlkey=mzfm589okew84i1sib5tq785u&raw=1
Joan of Arc at the Stake,1954,https://www.dropbox.com/scl/fi/ors956n31ld8gckosoc4z/1954_Joan-of-Arc-at-the-Stake.png?rlkey=7wrqcngord2zo7ckn0rz9vs6j&raw=1
The Black Shield of Falworth,1954,https://www.dropbox.com/scl/fi/daffgsjpordk8a5uhkjjh/1954_The-Black-Shield-of-Falworth.png?rlkey=91kcgvdoniob7rxawszb1etxc&raw=1
King Richard and the Crusaders,1954,https://www.dropbox.com/scl/fi/igrrss2sjauhduxqcs65n/1954_King-Richard-and-the-Crusaders.png?rlkey=7pmmpq42qyhjlk8754ulzfivc&raw=1
The Black Knight,1954,https://www.dropbox.com/scl/fi/xnlxvp279d8hmzlddfqpy/1954_The-Black-Knight.png?rlkey=g2ypc518ctih2hhgeoygohdg9&raw=1
Lady Godiva of Coventry,1955,https://www.dropbox.com/scl/fi/m6vkh7ywhetunqq0fgwr7/1955_Lady-Godiva-of-Coventry.png?rlkey=9fvbzeg2cllhmrg68od4xi7es&raw=1
Quentin Durward,1955,https://www.dropbox.com/scl/fi/pyf1uwalpa5or30rx2nya/1955_Quentin-Durward.png?rlkey=x9tly0etyoshw3dughl76it4g&raw=1
Tower of Lust,1955,https://www.dropbox.com/scl/fi/r75f7o4nq5a3a6dls7eix/1955_Tower-of-Lust.png?rlkey=8dl4rznmmloq897spdxb02oso&raw=1
